ch.channel_id,ch.incomingDegree
8057,62.0
24217,45.0
52289,45.0
16245,44.0
28137,42.0
36196,41.0
44196,40.0
20330,37.0
28138,33.0
48177,33.0
20325,32.0
32126,31.0
56225,31.0
20326,30.0
12151,29.0
52286,29.0
8056,27.0
12156,27.0
40200,27.0
44201,27.0
48179,27.0
52288,27.0
12152,26.0
28136,25.0
3,24.0
4031,24.0
20328,24.0
32128,24.0
52290,22.0
28141,21.0
40194,21.0
28142,20.0
4026,19.0
40198,19.0
60328,19.0
4,18.0
4027,18.0
20322,18.0
28140,18.0
24216,17.0
36191,17.0
40189,17.0
44206,17.0
60330,17.0
40195,16.0
32124,15.0
44208,15.0
56229,15.0
2,14.0
40192,14.0
52287,14.0
8054,13.0
16248,13.0
24212,13.0
24215,13.0
44203,13.0
44202,12.0
48180,11.0
60331,11.0
8052,10.0
16243,10.0
20331,10.0
24213,10.0
28143,10.0
40191,10.0
36193,9.0
40193,9.0
20324,8.0
60326,8.0
12153,7.0
32127,7.0
60327,7.0
44198,6.0
44200,6.0
44207,6.0
16246,5.0
40190,5.0
4030,3.0
20327,3.0
56228,3.0
44209,2.0
8053,1.0
20321,1.0
60329,1.0
8058,0.0
12154,0.0
12157,0.0
12158,0.0
16242,0.0
16244,0.0
20329,0.0
28139,0.0
32125,0.0
36195,0.0
40199,0.0
44205,0.0
48176,0.0
52291,0.0
56226,0.0
56227,0.0
